,accuracy,precision,recall,f1,roc_auc,best_cv_f1,cv_accuracy_mean,cv_accuracy_std,cv_f1_mean,cv_f1_std,cv_recall_mean,cv_recall_std,cv_roc_auc_mean,cv_roc_auc_std
RandomForest,0.7777251184834123,0.5646067415730337,0.7165775401069518,0.631578947368421,0.844485948613849,0.63566934415072,0.7874821509636416,0.014299656589643321,0.63566934415072,0.02842560603807477,0.6987160363838437,0.04157454214201372,0.84115900004638,0.01745923386135105
CatBoost,0.7502369668246446,0.5190156599552572,0.8270944741532977,0.6378006872852233,0.8505809624747839,,,,,,,,,
